项目代码,项目状态,办理时间,项目名称,审批监管事项,办理状态,管理部门,projectuuid,SENDID
2211-330803-04-01-562143,,2022-11-11 17:57:03.0,衢州市低碳科普馆30.24KWp屋顶分布式光伏项目,企业投资（含外商投资）项目备案（基本建设）,已办结,区发展和改革局（粮食和物资储备局）,57ee81907c614bddacc85a3a502931ad,ab4a0f2e25564dd293194be4f619758e
2211-330113-04-01-823613,,2022-11-11 16:51:56.0,0.6兆瓦屋顶分布式光伏发电项目,企业投资（含外商投资）项目备案（基本建设）,已办结,杭州市临平区发展改革局,6813a794628c44b8b5c3f8eba6af3df4,ce59952ad45540be95001cd68a241737
2211-330302-04-01-897015,,2022-11-11 16:42:20.0,温州市正艺鞋材有限公司鹿城区仰义街道前京村周岙底房权证第843066号屋顶232.1kw分布式光伏发电项目,企业投资（含外商投资）项目备案（基本建设）,已办结,温州市鹿城区发展和改革局,5bbb3c88af8b407fb4bdcb187ca38e1a,b75b98a37cb84103b516079a12cadc3a
2211-330402-89-01-990256,,2022-11-11 16:41:00.0,嘉兴市南湖区华生建筑236.53kWp分布式光伏项目,企业投资（含外商投资）项目备案（基本建设）,已办结,嘉兴市南湖区行政审批局,6b1cfb5d68f4477188387782fbad0d98,00d32ef137824771a16040dfc04d4b4a
2211-331082-04-01-865353,,2022-11-11 16:36:55.0,临海市珠迪光电有限公司219.78KWP屋顶分布式光伏发电项目,企业投资（含外商投资）项目备案（基本建设）,已办结,台州市临海市发展和改革局,6c7bc02df9134ebe8ea1c8b741e10455,8c9cf560b652423088fe36c0473e6d24
2211-330302-04-01-897015,,2022-11-11 16:32:24.0,温州市正艺鞋材有限公司鹿城区仰义街道前京村周岙底房权证第843066号屋顶232.1kw分布式光伏发电项目,企业投资（含外商投资）项目备案（基本建设）,已办结,温州市鹿城区发展和改革局,5bbb3c88af8b407fb4bdcb187ca38e1a,350586f7b02e49e99bbdb8ea1961fc56
2211-330726-04-01-808940,,2022-11-11 16:30:34.0,浦江县中旭富能新能源科技有限公司396KWp分布式光伏发电（成利包装）项目,企业投资（含外商投资）项目备案（基本建设）,已办结,浦江县发展和改革局,12efdcd7b47543da81023797b70b0b81,d0dd1be72b1a4564a5b11a1fa1228cf3
2211-330851-04-01-237386,,2022-11-11 16:25:05.0,衢州华友钴新材料有限公司2.2MW分布式光伏发电项目,企业投资（含外商投资）项目备案（基本建设）,已办结,衢州智造新城管理委员会,508144e289054fd29390cca4651bbb2c,ec60f6be20834736b4caff7fed5afc4c
2211-330851-04-01-410936,,2022-11-11 16:19:01.0,华友新能源科技（衢州）有限公司2MW分布式光伏发电项目,企业投资（含外商投资）项目备案（基本建设）,已办结,衢州智造新城管理委员会,247ba06999be431ca1eb4ef1ade5ac01,d5e528bef9f749ffbcd3431b7037c76f
2211-330825-04-01-883885,,2022-11-11 16:16:26.0,衢州毓皓新能源有限公司249.85kWp屋顶分布式光伏发电项目（星利拉链）,企业投资（含外商投资）项目备案（基本建设）,已办结,龙游县发展和改革局,55a07fd7172144e0aa041789cdfd090c,8d4bf204903d4d12a1c7c090ef7c20c5
